date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:10	39905/39905	---M-Z	200	added ('OK')	text/html	etag:%2215-1660924476;gz%22	https://danielbiller.com/	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index.html	(from )
21:44:10	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202022%2001:44:09%20GMT	https://danielbiller.com/robots.txt		(from )
21:44:10	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-62cdb3fe-0;gz%22	https://danielbiller.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/css/dist/block-library/style.min37ad.css	(from https://danielbiller.com/)
21:44:10	1077/1077	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f9725fa40fac9625bbca9a7ee027154e%22	https://danielbiller.com/?feed=rss2	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexd784.html	(from https://danielbiller.com/)
21:44:11	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-61643ece-0;gz%22	https://danielbiller.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.2	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/plugins/contact-form-7/includes/css/styles4c7e.css	(from https://danielbiller.com/)
21:44:11	18639/18639	---M-Z	200	added ('OK')	text/css	etag:%2248cf-62838b0e-0;gz%22	https://danielbiller.com/wp-content/plugins/raratheme-companion/public/css/raratheme-companion-public.min.css?ver=1.4.0	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/plugins/raratheme-companion/public/css/raratheme-companion-public.min2fca.css	(from https://danielbiller.com/)
21:44:11	740/740	---MCZ	200	added ('OK')	application/rss+xml	etag:%22f9725fa40fac9625bbca9a7ee027154e%22	https://danielbiller.com/?feed=comments-rss2	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexa6da.html	(from https://danielbiller.com/)
21:44:11	908/908	---M-Z	200	added ('OK')	text/css	etag:%2238c-5f355614-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/css/owl.theme.default.min.css?ver=2.2.1	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/css/owl.theme.default.min77e6.css	(from https://danielbiller.com/)
21:44:11	2941/2941	---M-Z	200	added ('OK')	text/css	etag:%22b7d-5f355614-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/css/owl.carousel.min.css?ver=2.2.1	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/css/owl.carousel.min77e6.css	(from https://danielbiller.com/)
21:44:11	1770/1770	---M-Z	200	added ('OK')	text/css	etag:%226ea-5f355614-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/css/perfect-scrollbar.min.css?ver=1.3.0	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/css/perfect-scrollbar.min6f3e.css	(from https://danielbiller.com/)
